Borough,Neighborhood,ZIP,Latitude,Longitude,Avg. Land Price
Cengkareng,"Cengkareng Barat, Cengkareng Timur, Duri Kosambi, Kapuk, Kedaung Kali Angke, Rawa Buaya","11730, 11750, 11720, 11710, 11740",-6.1487,106.7353," 7,734 "
Grogol Petamburan,"Grogol, Jelambar, Jelambar Baru, Tanjung Duren Selatan, Tanjung Duren Utara, Tomang, Wijaya Kusuma","11450, 11460, 11470, 11440",-6.1617,106.7846," 14,706 "
Kalideres,"Kalideres, Kamal, Pegadungan, Semanan, Tegal Alur","11840, 11810, 11830, 11850, 11820",-6.1343,106.7058," 6,809 "
Kebon Jeruk,"Duri Kepa, Kebon Jeruk, Kedoya Selatan, Kedoya Utara, Kelapa Dua, Sukabumi Selatan (Udik), Sukabumi Utara (Ilir)","11510, 11530, 11520, 11550, 11560, 11540",-6.1835,106.7647," 9,922 "
Kembangan,"Joglo, Kembangan Selatan, Kembangan Utara, Meruya Selatan (Udik), Meruya Utara (Ilir). Srengseng","11640, 11610, 11650, 11620, 11630",-6.1930,106.7426," 12,675 "
Palmerah,"Jatipulo, Kemanggisan, Kota Bambu Selatan, Kota Bambu Utara, Palmerah, Slipi","11430, 11480, 11420, 11410",-6.1901,106.7972," 19,605 "
Taman Sari,"Glodok, Keagungan, Krukut, Mangga Besar, Maphar, Pinangsia, Taman Sari, Tangki","11120, 11130, 11140, 11180, 11160, 11110, 11150, 11170",-6.1485,106.8208," 20,699 "
Tambora,"Angke, Duri Selatan, Duri Utara, Jembatan Besi, Jembatan Lima, Kali Anyar, Krendang, Pekojan, Roa Malaka, Tambora, Tanah Sereal","11330, 11270, 11320, 11250, 11310, 11260, 11240, 11230, 11220, 11210",-6.1490,106.8031," 13,980 "
Cempaka Putih,"Cempaka Putih Barat, Cempaka Putih Timur, Rawasari","10520, 10510, 10570",-6.1827,106.8680," 12,871 "
Gambir,"Cideng, Duri Pulo, Gambir, Kebon Kelapa, Petojo Selatan, Petojo Utara","10150, 10140, 10110, 10120, 10160, 10130",-6.1703,106.8148," 24,518 "
Johar Baru,"Galur, Johar Baru, Kampung Rawa, Tanah Tinggi","10530, 10560, 10550, 10540",-6.1868,106.8577," 10,581 "
Kemayoran,"Cempaka Baru, Gunung Sahari Selatan, Harapan Mulya, Kebon Kosong, Kemayoran, Serdang, Sumur Batu, Utan Panjang","10640, 10610, 10630, 10620, 10650",-6.1604,106.8473," 12,178 "
